host,service,pool,pid,tid,thread_name,affinity,current_cpu,runtime_sec,wait_sec,elapsed_sec,cpu_pct,runqueue_wait_pct,runnable_pct
adfe100,FCGIActionServer,bid-request,2089,3194,bid-request:c0,0,0,0.494683306,2.974033105,600.004630784,0.08244658134615042,0.4956683586114927,0.5781149399576431
adfe100,FCGIActionServer,bid-request,2089,3195,bid-request:c37,37,37,0.523211558,7.859612921,600.004630784,0.0872012533163856,1.309925376864206,1.3971266301805916
adfe100,FCGIActionServer,bid-request,2089,3196,bid-request:c62,62,62,0.388268037,4.659047135,600.004630784,0.06471084006346202,0.7765018628126629,0.8412127028761249
adfe100,FCGIActionServer,bid-request,2089,3197,bid-request:c26,26,26,0.357171329,5.421542357,600.004630784,0.059528095397080476,0.903583419000601,0.9631115143976816
adfe100,FCGIActionServer,bid-request,2089,3198,bid-request:c46,46,46,0.503926086,2.60826206,600.004630784,0.08398703279032058,0.43470698827639,0.5186940210667106
adfe100,FCGIActionServer,bid-request,2089,3199,bid-request:c30,30,30,0.357469401,5.585042093,600.004630784,0.05957777368033148,0.9308331646877905,0.990410938368122
adfe100,FCGIActionServer,bid-request,2089,3200,bid-request:c29,29,29,0.34592463,5.915208658,600.004630784,0.05765366003058932,0.9858605008216109,1.0435141608522003
adfe100,FCGIActionServer,bid-request,2089,3201,bid-request:c57,57,57,0.387983091,2.95668694,600.004630784,0.06466334942999345,0.49277735342419365,0.5574407028541871
adfe100,FCGIActionServer,bid-request,2089,3202,bid-request:c43,43,43,0.490650854,4.195894161,600.004630784,0.08177451119983654,0.6993102962417819,0.7810848074416185
adfe100,FCGIAdServer,bid-request,2093,3110,bid-request:c18,18,18,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,FCGIAdServer,bid-request,2093,3111,bid-request:c3,3,3,0.000301527,0.001645073,600.004630784,5.0254112140102614e-05,0.00027417671724474103,0.00032443082938484364
adfe100,FCGIAdServer,bid-request,2093,3112,bid-request:c42,42,42,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,FCGIAdServer,bid-request,2093,3113,bid-request:c21,21,21,0.0,0.0,600.004630784,0.0,0.0,0.0
